GRB_name;trigger_sat;redshift;Tstart;Tend;unit_time;mag;err_mag;filter;mJy;err_mJy;ID_telescope
091020;Swift;1.71;3675.4;3675.6;s;17.93;0.22;R;0;0;11
091020;Swift;1.71;3875.1;3875.3;s;17.43;0.09;R;0;0;11
091020;Swift;1.71;4074.7;4074.9;s;17.48;0.14;R;0;0;11
091020;Swift;1.71;4274.3;4274.5;s;18.03;0.19;R;0;0;11
091020;Swift;1.71;4474;4474.2;s;17.87;0.15;R;0;0;11
091020;Swift;1.71;4673.6;4673.8;s;17.58;0.1;R;0;0;11
091020;Swift;1.71;4873.3;4873.5;s;17.94;0.12;R;0;0;11
091020;Swift;1.71;16536;16538;s;19.43;0.04;R;0;0;26
091020;Swift;1.71;16885;16887;s;19.40;0.04;R;0;0;26
091020;Swift;1.71;17234;17236;s;19.40;0.04;R;0;0;26
#091020;Swift;1.71;27215;27217;s;20;1.0;R;0;0;6
091020;Swift;1.71;54611;54613;s;20.91;0.13;R;0;0;28
091020;Swift;1.71;141443;141445;s;21.81;0.23;R;0;0;28
#091020;Swift;1.71;170549;170551;s;21.40;0.0;R;0;0;27
091020;Swift;1.71;450429;450431;s;23.62;0.31;R;0;0;26
