GRB_name 	 redshift 	 mid_time (s) 	 mid_time- (s) 	 mid_time+ (s) 	 flux [erg.cm-2.s-1 (X) or mJy (opt/IR, radio)] 	 flux_err 	 type of point (detection,extrap,UL) 	 filter 
091020 	 0.000000 	 15470.345039 	 15452.544395 	 15488.166189 	 1.097616e-01 	 5.901097e-03 	 3 	 I 
091020 	 0.000000 	 15506.007868 	 15488.166189 	 15523.870100 	 1.104130e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15541.752908 	 15523.870100 	 15559.656316 	 1.110682e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15577.580348 	 15559.656316 	 15595.525028 	 1.117273e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15613.490380 	 15595.525028 	 15631.476426 	 1.123904e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15649.483192 	 15631.476426 	 15667.510701 	 1.130573e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15685.558977 	 15667.510701 	 15703.628043 	 1.137282e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15721.717925 	 15703.628043 	 15739.828645 	 1.144031e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15757.960227 	 15739.828645 	 15776.112697 	 1.150821e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15794.286077 	 15776.112697 	 15812.480393 	 1.157650e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15830.695667 	 15812.480393 	 15848.931925 	 1.164520e-01 	 5.241202e-03 	 3 	 I 
091020 	 0.000000 	 15867.189190 	 15848.931925 	 15885.467486 	 1.171430e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15903.766838 	 15885.467486 	 15922.087271 	 1.178382e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15940.428807 	 15922.087271 	 15958.791472 	 1.185375e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 15977.175291 	 15958.791472 	 15995.580286 	 1.192409e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 16014.006483 	 15995.580286 	 16032.453907 	 1.199485e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 16050.922581 	 16032.453907 	 16069.412530 	 1.206604e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 16087.923779 	 16069.412530 	 16106.456352 	 1.213764e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 16125.010273 	 16106.456352 	 16143.585568 	 1.220967e-01 	 -1.000000e-32 	 0 	 I 
091020 	 0.000000 	 16162.182261 	 16143.585568 	 16180.800376 	 1.228212e-01 	 5.527867e-03 	 3 	 I 
