GRB_name 	 redshift 	 mid_time (s) 	 mid_time- (s) 	 mid_time+ (s) 	 flux [erg.cm-2.s-1 (X) or mJy (opt/IR, radio)] 	 flux_err 	 type of point (detection,extrap,UL) 	 filter 
091020 	 0.000000 	 3677.053934 	 3672.823005 	 3681.289736 	 3.146908e-01 	 5.771985e-02 	 3 	 R 
091020 	 0.000000 	 3685.530419 	 3681.289736 	 3689.775986 	 3.138480e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3694.026444 	 3689.775986 	 3698.281798 	 3.130075e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3702.542054 	 3698.281798 	 3706.807218 	 3.121692e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3711.077295 	 3706.807218 	 3715.352291 	 3.113332e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3719.632212 	 3715.352291 	 3723.917063 	 3.104994e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3728.206849 	 3723.917063 	 3732.501578 	 3.096679e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3736.801254 	 3732.501578 	 3741.105883 	 3.088385e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3745.415470 	 3741.105883 	 3749.730022 	 3.080114e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3754.049545 	 3749.730022 	 3758.374043 	 3.071865e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3762.703523 	 3758.374043 	 3767.037990 	 3.063638e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3771.377450 	 3767.037990 	 3775.721909 	 3.055433e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3780.071373 	 3775.721909 	 3784.425847 	 3.047250e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3788.785337 	 3784.425847 	 3793.149850 	 3.039090e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3797.519390 	 3793.149850 	 3801.893963 	 3.030950e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3806.273576 	 3801.893963 	 3810.658234 	 3.022833e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3815.047943 	 3810.658234 	 3819.442708 	 3.014738e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3823.842537 	 3819.442708 	 3828.247433 	 3.006664e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3832.657404 	 3828.247433 	 3837.072455 	 2.998611e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3841.492592 	 3837.072455 	 3845.917820 	 2.990581e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3850.348147 	 3845.917820 	 3854.783577 	 2.982571e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3859.224116 	 3854.783577 	 3863.669771 	 2.974584e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3868.120546 	 3863.669771 	 3872.576449 	 2.966617e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3877.037485 	 3872.576449 	 3881.503660 	 2.958672e-01 	 2.353637e-02 	 3 	 R 
091020 	 0.000000 	 3885.974980 	 3881.503660 	 3890.451450 	 2.950749e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3894.933077 	 3890.451450 	 3899.419867 	 2.942846e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3903.911825 	 3899.419867 	 3908.408958 	 2.934965e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3912.911271 	 3908.408958 	 3917.418771 	 2.927104e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3921.931463 	 3917.418771 	 3926.449354 	 2.919265e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3930.972449 	 3926.449354 	 3935.500755 	 2.911447e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3940.034276 	 3935.500755 	 3944.573021 	 2.903650e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3949.116993 	 3944.573021 	 3953.666201 	 2.895873e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3958.220648 	 3953.666201 	 3962.780343 	 2.888118e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3967.345289 	 3962.780343 	 3971.915495 	 2.880383e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3976.490965 	 3971.915495 	 3981.071706 	 2.872669e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3985.657723 	 3981.071706 	 3990.249024 	 2.864976e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 3994.845613 	 3990.249024 	 3999.447498 	 2.857303e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4004.054683 	 3999.447498 	 4008.667176 	 2.849651e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4013.284983 	 4008.667176 	 4017.908108 	 2.842019e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4022.536560 	 4017.908108 	 4027.170343 	 2.834407e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4031.809464 	 4027.170343 	 4036.453930 	 2.826817e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4041.103745 	 4036.453930 	 4045.758917 	 2.819246e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4050.419451 	 4045.758917 	 4055.085354 	 2.811696e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4059.756633 	 4055.085354 	 4064.433292 	 2.804165e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4069.115338 	 4064.433292 	 4073.802778 	 2.796656e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4078.495618 	 4073.802778 	 4083.193863 	 2.789166e-01 	 3.374262e-02 	 3 	 R 
091020 	 0.000000 	 4087.897521 	 4083.193863 	 4092.606597 	 2.781696e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4097.321098 	 4092.606597 	 4102.041030 	 2.774246e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4106.766399 	 4102.041030 	 4111.497211 	 2.766816e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4116.233473 	 4111.497211 	 4120.975191 	 2.759406e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4125.722371 	 4120.975191 	 4130.475020 	 2.752016e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4135.233143 	 4130.475020 	 4139.996748 	 2.744646e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4144.765840 	 4139.996748 	 4149.540426 	 2.737296e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4154.320512 	 4149.540426 	 4159.106105 	 2.729965e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4163.897210 	 4159.106105 	 4168.693835 	 2.722653e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4173.495985 	 4168.693835 	 4178.303666 	 2.715362e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4183.116887 	 4178.303666 	 4187.935651 	 2.708090e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4192.759967 	 4187.935651 	 4197.589840 	 2.700837e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4202.425277 	 4197.589840 	 4207.266284 	 2.693604e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4212.112868 	 4207.266284 	 4216.965034 	 2.686390e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4221.822791 	 4216.965034 	 4226.686143 	 2.679195e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4231.555097 	 4226.686143 	 4236.429660 	 2.672020e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4241.309839 	 4236.429660 	 4246.195639 	 2.664864e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4251.087068 	 4246.195639 	 4255.984131 	 2.657727e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4260.886836 	 4255.984131 	 4265.795188 	 2.650609e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4270.709194 	 4265.795188 	 4275.628862 	 2.643511e-01 	 4.243893e-02 	 3 	 R 
091020 	 0.000000 	 4280.554196 	 4275.628862 	 4285.485204 	 2.636431e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4290.421892 	 4285.485204 	 4295.364268 	 2.629370e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4300.312336 	 4295.364268 	 4305.266105 	 2.622329e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4310.225580 	 4305.266105 	 4315.190768 	 2.615306e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4320.161676 	 4315.190768 	 4325.138310 	 2.608301e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4330.120677 	 4325.138310 	 4335.108784 	 2.601316e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4340.102636 	 4335.108784 	 4345.102242 	 2.594349e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4350.107606 	 4345.102242 	 4355.118737 	 2.587401e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4360.135640 	 4355.118737 	 4365.158322 	 2.580472e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4370.186791 	 4365.158322 	 4375.221052 	 2.573561e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4380.261112 	 4375.221052 	 4385.306978 	 2.566669e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4390.358656 	 4385.306978 	 4395.416154 	 2.559795e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4400.479478 	 4395.416154 	 4405.548635 	 2.552939e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4410.623631 	 4405.548635 	 4415.704474 	 2.546102e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4420.791169 	 4415.704474 	 4425.883724 	 2.539283e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4430.982145 	 4425.883724 	 4436.086439 	 2.532483e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4441.196614 	 4436.086439 	 4446.312675 	 2.525700e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4451.434629 	 4446.312675 	 4456.562484 	 2.518936e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4461.696246 	 4456.562484 	 4466.835922 	 2.512190e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4471.981518 	 4466.835922 	 4477.133042 	 2.505462e-01 	 3.232958e-02 	 3 	 R 
091020 	 0.000000 	 4482.290500 	 4477.133042 	 4487.453899 	 2.498752e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4492.623247 	 4487.453899 	 4497.798549 	 2.492060e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4502.979813 	 4497.798549 	 4508.167045 	 2.485386e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4513.360253 	 4508.167045 	 4518.559444 	 2.478730e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4523.764623 	 4518.559444 	 4528.975799 	 2.472091e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4534.192978 	 4528.975799 	 4539.416167 	 2.465471e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4544.645372 	 4539.416167 	 4549.880602 	 2.458868e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4555.121862 	 4549.880602 	 4560.369160 	 2.452283e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4565.622502 	 4560.369160 	 4570.881896 	 2.445715e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4576.147349 	 4570.881896 	 4581.418867 	 2.439165e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4586.696458 	 4581.418867 	 4591.980128 	 2.432633e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4597.269885 	 4591.980128 	 4602.565736 	 2.426118e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4607.867687 	 4602.565736 	 4613.175746 	 2.419620e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4618.489919 	 4613.175746 	 4623.810214 	 2.413140e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4629.136638 	 4623.810214 	 4634.469197 	 2.406678e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4639.807900 	 4634.469197 	 4645.152752 	 2.400232e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4650.503762 	 4645.152752 	 4655.860935 	 2.393804e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4661.224280 	 4655.860935 	 4666.593803 	 2.387393e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4671.969512 	 4666.593803 	 4677.351413 	 2.380999e-01 	 2.095021e-02 	 3 	 R 
091020 	 0.000000 	 4682.739514 	 4677.351413 	 4688.133821 	 2.374623e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4693.534343 	 4688.133821 	 4698.941086 	 2.368263e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4704.354057 	 4698.941086 	 4709.773264 	 2.361921e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4715.198713 	 4709.773264 	 4720.630413 	 2.355595e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4726.068369 	 4720.630413 	 4731.512590 	 2.349286e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4736.963082 	 4731.512590 	 4742.419853 	 2.342995e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4747.882909 	 4742.419853 	 4753.352259 	 2.336720e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4758.827910 	 4753.352259 	 4764.309868 	 2.330462e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4769.798141 	 4764.309868 	 4775.292737 	 2.324220e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4780.793661 	 4775.292737 	 4786.300923 	 2.317996e-01 	 -1.000000e-32 	 0 	 R 
091020 	 0.000000 	 4791.814529 	 4786.300923 	 4797.334486 	 2.311788e-01 	 -1.000000e-32 	 0 	 R 
