GRB_name 	 redshift 	 mid_time (s) 	 mid_time- (s) 	 mid_time+ (s) 	 flux [erg.cm-2.s-1 (X) or mJy (opt/IR, radio)] 	 flux_err 	 type of point (detection,extrap,UL) 	 filter 
091020 	 0.000000 	 808.164929 	 807.235030 	 809.095899 	 1.004034e+00 	 1.295569e-01 	 3 	 V 
091020 	 0.000000 	 810.027942 	 809.095899 	 810.961058 	 1.001572e+00 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 811.895249 	 810.961058 	 812.830516 	 9.991161e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 813.766861 	 812.830516 	 814.704284 	 9.966664e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 815.642787 	 814.704284 	 816.582371 	 9.942226e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 817.523038 	 816.582371 	 818.464788 	 9.917849e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 819.407623 	 818.464788 	 820.351544 	 9.893531e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 821.296553 	 820.351544 	 822.242650 	 9.869273e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 823.189837 	 822.242650 	 824.138115 	 9.845074e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 825.087485 	 824.138115 	 826.037950 	 9.820935e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 826.989509 	 826.037950 	 827.942164 	 9.796855e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 828.895916 	 827.942164 	 829.850768 	 9.772834e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 830.806719 	 829.850768 	 831.763771 	 9.748872e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 832.721926 	 831.763771 	 833.681185 	 9.724968e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 834.641548 	 833.681185 	 835.603018 	 9.701123e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 836.565596 	 835.603018 	 837.529282 	 9.677337e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 838.494079 	 837.529282 	 839.459987 	 9.653609e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 840.427007 	 839.459987 	 841.395142 	 9.629939e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 842.364391 	 841.395142 	 843.334758 	 9.606327e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 844.306242 	 843.334758 	 845.278845 	 9.582773e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 846.252569 	 845.278845 	 847.227414 	 9.559277e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 848.203382 	 847.227414 	 849.180475 	 9.535839e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 850.158693 	 849.180475 	 851.138038 	 9.512458e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 852.118511 	 851.138038 	 853.100114 	 9.489134e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 854.082847 	 853.100114 	 855.066713 	 9.465867e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 856.051712 	 855.066713 	 857.037845 	 9.442658e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 858.025115 	 857.037845 	 859.013522 	 9.419505e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 860.003067 	 859.013522 	 860.993752 	 9.396409e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 861.985579 	 860.993752 	 862.978548 	 9.373370e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 863.972661 	 862.978548 	 864.967919 	 9.350387e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 865.964323 	 864.967919 	 866.961876 	 9.327461e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 867.960577 	 866.961876 	 868.960429 	 9.304591e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 869.961433 	 868.960429 	 870.963590 	 9.281777e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 871.966901 	 870.963590 	 872.971368 	 9.259019e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 873.976993 	 872.971368 	 874.983775 	 9.236316e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 875.991718 	 874.983775 	 877.000821 	 9.213670e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 878.011087 	 877.000821 	 879.022517 	 9.191078e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 880.035112 	 879.022517 	 881.048873 	 9.168543e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 882.063802 	 881.048873 	 883.079900 	 9.146062e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 884.097169 	 883.079900 	 885.115610 	 9.123637e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 886.135224 	 885.115610 	 887.156012 	 9.101266e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 888.177976 	 887.156012 	 889.201118 	 9.078951e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 890.225438 	 889.201118 	 891.250938 	 9.056690e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 892.277620 	 891.250938 	 893.305484 	 9.034484e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 894.334532 	 893.305484 	 895.364766 	 9.012332e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 896.396186 	 895.364766 	 897.428795 	 8.990234e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 898.462593 	 897.428795 	 899.497582 	 8.968191e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 900.533763 	 899.497582 	 901.571138 	 8.946202e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 902.609707 	 901.571138 	 903.649474 	 8.924266e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 904.690438 	 903.649474 	 905.732601 	 8.902385e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 906.775965 	 905.732601 	 907.820530 	 8.880557e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 908.866299 	 907.820530 	 909.913273 	 8.858782e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 910.961452 	 909.913273 	 912.010839 	 8.837061e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 913.061435 	 912.010839 	 914.113241 	 8.815394e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 915.166259 	 914.113241 	 916.220490 	 8.793779e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 917.275935 	 916.220490 	 918.332596 	 8.772217e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 919.390475 	 918.332596 	 920.449572 	 8.750709e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 921.509889 	 920.449572 	 922.571427 	 8.729253e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 923.634188 	 922.571427 	 924.698174 	 8.707849e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 925.763385 	 924.698174 	 926.829823 	 8.686498e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 927.897490 	 926.829823 	 928.966387 	 8.665200e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 930.036515 	 928.966387 	 931.107875 	 8.643953e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 932.180470 	 931.107875 	 933.254301 	 8.622759e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 934.329368 	 933.254301 	 935.405674 	 8.601617e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 936.483220 	 935.405674 	 937.562007 	 8.580526e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 938.642037 	 937.562007 	 939.723311 	 8.559488e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 940.805830 	 939.723311 	 941.889597 	 8.538501e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 942.974611 	 941.889597 	 944.060876 	 8.517565e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 945.148392 	 944.060876 	 946.237161 	 8.496680e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 947.327185 	 946.237161 	 948.418463 	 8.475847e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 949.510999 	 948.418463 	 950.604794 	 8.455065e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 951.699848 	 950.604794 	 952.796164 	 8.434334e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 953.893743 	 952.796164 	 954.992586 	 8.413654e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 956.092695 	 954.992586 	 957.194071 	 8.393024e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 958.296716 	 957.194071 	 959.400632 	 8.372445e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 960.505818 	 959.400632 	 961.612278 	 8.351917e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 962.720013 	 961.612278 	 963.829024 	 8.331438e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 964.939312 	 963.829024 	 966.050879 	 8.311010e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 967.163727 	 966.050879 	 968.277856 	 8.290632e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 969.393269 	 968.277856 	 970.509967 	 8.270305e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 971.627952 	 970.509967 	 972.747224 	 8.250026e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 973.867785 	 972.747224 	 974.989638 	 8.229798e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 976.112782 	 974.989638 	 977.237221 	 8.209619e-01 	 -1.000000e-32 	 0 	 V 
091020 	 0.000000 	 978.362955 	 977.237221 	 979.489985 	 8.189490e-01 	 -1.000000e-32 	 0 	 V 
