GRB_name 	 redshift 	 mid_time (s) 	 mid_time- (s) 	 mid_time+ (s) 	 flux [erg.cm-2.s-1 (X) or mJy (opt/IR, radio)] 	 flux_err 	 type of point (detection,extrap,UL) 	 filter 
091020 	 -1.000000 	 71.203280 	 71.121351 	 71.285303 	 4.248928e-09 	 9.937941e-10 	 3 	 X 
091020 	 -1.000000 	 71.367421 	 71.285303 	 71.449633 	 4.218597e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 71.531939 	 71.449633 	 71.614341 	 4.188481e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 71.696838 	 71.614341 	 71.779429 	 4.158581e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 71.862116 	 71.779429 	 71.944898 	 4.128894e-09 	 9.657189e-10 	 3 	 X 
091020 	 -1.000000 	 72.027775 	 71.944898 	 72.110748 	 4.099419e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 72.193816 	 72.110748 	 72.276980 	 4.070154e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 72.360240 	 72.276980 	 72.443596 	 4.041098e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 72.527048 	 72.443596 	 72.610596 	 4.012249e-09 	 9.384364e-10 	 3 	 X 
091020 	 -1.000000 	 72.694240 	 72.610596 	 72.777980 	 3.983605e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 72.861817 	 72.777980 	 72.945751 	 3.955166e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 73.029781 	 72.945751 	 73.113908 	 3.926929e-09 	 9.184807e-10 	 3 	 X 
091020 	 -1.000000 	 73.198132 	 73.113908 	 73.282453 	 3.898893e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 73.366871 	 73.282453 	 73.451387 	 3.871057e-09 	 -1.000000e-32 	 0 	 X 
091020 	 -1.000000 	 73.536000 	 73.451387 	 73.620710 	 3.843418e-09 	 -1.000000e-32 	 0 	 X 
